youthidCUF,classidCUF,schoolidCUF,schtype_geRV,y1_sex,y1_doby,y1_nationRV,y1_lpsc1,y1_lpsc2,y1_lpsc3,y1_lpsc4,y1_fact,y1_sat2,y1_sat1,y1_pbsch1,y1_pbsch2,y1_pbsch3,y1_pbsch4,y1_del1,y1_del2,y1_del3,y1_del4,y1_vict1,y1_vict2,y1_vict3,y1_pdisc1,y1_pdisc2,y1_pdisc3,y1_pdisc4,y1_date,y1_contm,y1_gawm,y1_contf,y1_gawf,y1_penc1,y1_penc2,y1_penc3,y1_fcoh1,y1_fcoh2,y1_fcoh3,y1_fcoh4,y1_fcoh5,y1_pdem1,y1_pdem2,y1_pdem3,y1_pdem4,y1_pdem5,y1_pdem6,y1_pdem7,y1_pinv1,y1_pinv2,y1_pinv3,y1_sest1,y1_sest2,y1_sest3,y1_sest4,y1_tenc1,y1_tenc2,y1_tenc3,age,neg_indegree,neg_outdegree,neg_isolate,pos_indegree,pos_outdegree,pos_isolate
10200101,102001,1020,1,2,1996,3,4,4,4,4,3,3,5,5,5,5,4,1,2,2,2,3,4,4,4,4,4,4,2,1,2,1,2,2,1,4,3,4,4,3,2,5,2,4,3,5,3,5,2,2,2,2,4,2,1,3,2,4,14,3,4,0,2,2,0
10200103,102001,1020,1,1,1995,1,5,5,5,3,4,6,8,5,4,5,5,2,2,2,2,3,2,3,3,4,4,3,1,1,1,2,1,1,4,2,3,1,1,4,2,2,1,1,1,2,2,4,3,5,4,2,3,1,2,1,4,5,15,4,2,0,0,1,0
10200105,102001,1020,1,2,1994,3,3,4,4,4,1,2,4,3,3,2,2,2,1,1,2,3,3,4,3,4,4,1,1,1,4,1,4,1,1,2,4,1,3,2,1,5,2,2,1,5,5,5,2,4,4,3,4,3,3,4,3,5,16,0,1,0,1,3,0
10200106,102001,1020,1,2,1994,2,4,5,4,4,4,9,10,4,5,4,5,2,2,2,2,4,4,4,4,4,4,3,2,1,2,1,1,1,2,2,2,4,1,4,4,2,3,5,5,2,2,3,3,2,2,1,1,2,2,3,1,5,16,2,4,0,3,3,0
10200114,102001,1020,1,1,1996,1,4,5,4,4,3,9,10,2,3,5,5,2,2,2,1,4,4,4,4,4,4,3,1,1,1,1,1,2,2,2,3,4,2,4,4,4,5,5,5,2,1,2,3,4,5,1,1,1,2,1,2,3,14,1,3,0,4,2,0
10200115,102001,1020,1,2,1996,1,3,4,3,3,4,2,2,5,5,5,5,2,2,2,2,4,4,4,4,3,3,4,2,1,1,1,1,1,1,2,1,4,1,4,4,1,5,5,5,1,1,2,4,1,2,2,1,2,2,2,2,5,14,0,1,0,1,5,0
10200117,102001,1020,1,2,1995,1,4,4,4,4,4,6,7,5,5,4,5,2,2,2,2,4,4,4,4,4,4,4,1,1,2,5,NA,2,2,2,3,2,3,3,3,2,2,4,2,2,2,2,4,2,4,2,2,2,2,2,2,5,15,0,3,0,6,5,0
10200118,102001,1020,1,1,1993,2,4,4,4,2,NA,9,7,5,5,5,2,NA,NA,NA,NA,4,4,4,4,4,3,3,2,1,1,4,2,3,1,3,3,4,4,4,3,5,5,2,5,4,3,3,5,4,5,2,2,1,1,1,2,3,17,1,0,0,6,5,0
10200120,102001,1020,1,2,1995,3,4,4,5,3,2,5,5,5,5,5,4,2,2,2,2,1,1,1,3,4,4,4,1,4,1,1,2,1,2,2,3,4,3,3,3,2,3,2,3,3,2,2,2,1,1,2,2,2,2,2,2,3,15,3,4,0,3,4,0
10200124,102001,1020,1,2,1996,3,4,4,3,3,4,9,10,5,5,5,5,2,2,2,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,4,1,4,2,4,4,1,5,5,5,1,1,1,5,5,5,1,1,1,1,1,2,5,14,0,5,0,3,3,0
10420201,104202,1042,3,2,1996,1,4,4,3,4,3,5,4,4,4,5,4,2,2,2,2,4,3,3,3,3,4,4,2,1,3,1,3,3,1,3,3,1,3,2,1,3,4,3,2,3,3,3,3,4,2,2,2,2,2,2,3,3,14,0,2,0,3,3,0
10420202,104202,1042,3,2,1996,1,5,5,5,5,3,8,9,5,5,5,4,2,2,2,2,3,3,2,4,4,4,4,2,1,1,1,1,1,1,1,2,3,2,4,3,1,4,3,4,1,1,1,4,4,3,2,2,2,3,2,2,3,14,5,2,0,2,5,0
10420203,104202,1042,3,1,1996,1,5,5,4,4,4,5,7,4,5,5,4,2,2,2,2,2,2,2,2,2,3,4,2,1,2,2,2,1,2,2,3,2,2,3,3,2,2,2,2,2,2,2,4,3,2,2,1,2,2,3,2,1,14,6,1,0,2,3,0
10420204,104202,1042,3,2,1996,1,4,4,3,3,4,6,9,2,3,5,4,2,2,2,2,4,4,4,3,4,4,3,1,1,2,1,1,2,2,2,3,4,3,4,4,2,4,5,5,2,1,2,3,4,3,1,2,1,2,2,3,4,14,2,1,0,3,4,0
10420207,104202,1042,3,1,1995,1,4,5,3,3,4,9,9,5,4,5,5,2,2,2,2,4,4,4,4,3,4,4,2,1,1,1,1,1,1,2,2,4,2,4,4,1,5,5,5,1,1,2,4,5,3,2,1,2,2,2,2,3,15,0,1,0,4,4,0
10420208,104202,1042,3,2,1996,1,4,4,5,4,4,9,9,4,5,5,4,2,2,2,2,4,4,4,3,4,4,4,2,1,1,2,1,2,1,4,2,3,1,4,3,2,4,5,4,2,1,1,2,2,4,2,2,2,2,3,3,2,14,1,2,0,4,3,0
10420209,104202,1042,3,2,1997,1,4,3,4,4,3,7,7,5,4,5,4,2,2,2,2,4,3,4,4,4,4,4,2,1,2,3,1,1,3,4,2,3,1,3,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,5,5,5,13,0,1,0,1,4,0
10420210,104202,1042,3,2,1996,1,4,5,5,4,3,8,9,4,5,5,3,2,2,2,2,3,3,4,3,4,4,4,1,1,2,1,2,2,2,2,2,3,2,4,3,2,4,3,2,2,2,3,3,3,2,2,2,2,2,3,3,3,14,0,2,0,2,3,0
10420212,104202,1042,3,2,1995,1,4,4,4,3,4,5,9,4,4,2,5,2,2,2,2,4,2,2,3,4,4,4,1,1,1,1,1,1,1,1,2,4,2,4,3,1,5,5,5,1,1,2,1,3,1,2,2,3,2,4,4,2,15,0,0,1,3,5,0
10420214,104202,1042,3,1,1994,1,4,5,3,2,3,8,8,5,4,5,5,2,2,2,2,3,2,2,3,4,4,4,2,1,2,2,2,2,2,3,3,3,2,4,3,2,4,3,4,2,1,2,4,3,1,2,2,2,2,3,2,4,16,0,5,0,8,5,0
10420217,104202,1042,3,1,1995,1,4,4,3,3,4,3,1,5,5,5,5,2,2,2,2,4,3,4,4,4,4,4,2,1,1,1,1,1,2,2,1,3,2,4,3,1,5,4,4,1,1,2,2,2,2,1,1,1,2,1,2,4,15,7,2,0,1,2,0
10420218,104202,1042,3,2,1996,1,3,4,4,3,4,7,9,4,4,5,5,2,2,2,2,4,4,4,3,4,4,4,1,4,4,1,1,2,2,2,2,3,2,4,3,2,5,4,4,2,2,2,3,2,2,2,2,2,3,3,2,2,14,2,3,0,5,4,0
10420219,104202,1042,3,1,1996,1,4,5,4,3,3,6,8,4,4,5,5,2,2,2,2,3,3,3,3,4,4,4,2,1,2,1,1,1,1,1,3,4,2,4,4,1,4,4,4,1,2,2,3,2,3,2,3,4,3,2,2,3,14,2,5,0,0,5,0
10420222,104202,1042,3,2,1995,1,4,4,3,3,2,8,9,5,5,5,4,2,2,2,2,4,3,4,3,4,4,4,2,1,1,1,1,2,1,2,3,3,2,4,3,1,5,5,5,1,1,1,4,4,5,2,2,2,2,1,2,4,15,2,4,0,1,5,0
10440101,104401,1044,1,2,1996,1,5,5,5,5,4,6,8,3,4,5,3,2,2,2,2,4,4,4,3,2,4,3,1,1,1,1,1,1,1,1,2,3,1,4,3,1,5,4,4,1,1,1,3,4,1,2,2,3,2,1,2,3,14,2,3,0,0,4,0
10440106,104401,1044,1,2,1995,1,3,3,4,3,4,7,8,4,4,5,5,1,2,2,2,4,4,4,3,4,4,4,1,1,1,1,1,1,1,2,2,4,1,4,4,1,3,4,5,1,1,2,3,5,5,1,1,3,1,4,3,2,15,4,3,0,0,5,0
10440107,104401,1044,1,2,1994,3,4,4,4,4,3,3,5,5,5,5,3,2,2,2,2,4,4,4,4,4,4,4,1,1,1,3,3,1,1,1,3,4,1,4,4,1,5,5,3,1,1,1,4,3,4,2,4,5,2,2,4,3,16,0,2,0,2,0,0
10440108,104401,1044,1,2,1995,2,4,4,4,4,4,10,10,4,4,5,5,2,2,2,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,5,1,1,1,4,4,1,5,5,5,1,1,1,5,5,5,1,1,1,1,1,1,5,15,1,0,0,3,5,0
10440111,104401,1044,1,1,1995,3,5,5,5,5,4,9,9,2,4,5,3,2,2,1,2,4,4,4,3,3,3,2,1,1,2,2,1,1,2,2,3,4,2,4,4,2,3,4,4,1,1,1,3,1,3,1,1,1,4,4,4,2,15,0,0,1,1,5,0
10440113,104401,1044,1,1,1994,3,4,4,4,3,3,5,8,2,2,5,4,1,2,2,2,4,3,4,2,4,4,4,1,1,2,3,2,2,1,1,2,3,2,4,2,1,1,2,2,1,1,2,2,4,1,1,1,2,2,4,4,2,16,0,1,0,2,3,0
10440118,104401,1044,1,2,1996,2,4,5,4,4,4,9,9,4,5,5,5,2,2,2,2,4,4,4,4,4,4,4,1,1,1,2,2,1,1,1,2,4,2,4,3,1,4,4,5,1,1,1,4,4,2,1,1,1,1,1,2,4,14,0,4,0,0,5,0
10440121,104401,1044,1,2,1994,3,4,4,4,4,4,6,7,2,4,5,4,2,2,2,2,4,4,4,4,4,4,2,1,1,1,5,NA,2,2,3,3,4,1,4,3,2,4,5,4,2,2,3,1,1,1,1,2,2,2,2,1,1,16,2,5,0,1,5,0
10440204,104402,1044,1,1,1994,1,5,5,5,4,4,8,10,3,5,5,5,2,2,2,1,4,4,4,4,4,4,4,1,3,2,1,1,1,1,1,2,4,2,4,4,2,4,4,5,1,1,1,3,3,3,2,1,1,1,2,2,1,16,2,3,0,1,4,0
10440205,104402,1044,1,2,1996,1,5,5,3,2,4,4,5,4,5,5,4,2,2,2,2,4,3,4,3,4,4,4,2,1,1,4,1,2,1,2,3,4,2,4,3,2,5,5,4,2,2,2,2,4,3,2,2,3,2,3,3,2,14,1,2,0,1,3,0
10440209,104402,1044,1,2,1995,1,4,5,4,5,4,7,8,5,5,4,5,2,2,2,1,4,4,4,4,4,4,4,2,2,2,1,2,2,3,4,4,3,3,3,3,4,4,4,4,3,3,4,3,2,3,2,3,3,3,3,3,3,15,1,4,0,1,4,0
10440211,104402,1044,1,1,1995,3,3,4,3,3,4,7,7,4,5,5,4,2,2,2,2,4,4,4,4,4,3,3,2,1,2,5,NA,2,2,2,1,3,3,4,3,2,4,4,4,2,1,2,2,4,3,2,1,1,1,2,2,4,15,0,1,0,2,5,0
10440213,104402,1044,1,1,1995,3,3,4,3,3,3,8,9,5,5,5,5,2,2,2,2,4,2,2,3,4,4,4,2,1,1,1,1,2,2,1,1,4,3,4,3,1,4,5,5,1,1,2,3,5,3,2,2,1,2,2,2,5,15,1,3,0,0,3,0
10440214,104402,1044,1,2,1994,3,3,3,4,3,4,10,10,4,5,5,5,2,2,2,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,5,1,4,1,4,4,1,5,5,5,1,1,1,5,5,3,2,1,1,1,1,5,5,16,2,5,0,0,1,0
10440219,104402,1044,1,2,1995,1,4,4,5,4,4,8,9,4,5,4,3,2,2,1,1,4,4,4,4,4,4,4,1,1,1,1,2,2,1,2,3,4,2,4,4,3,4,4,4,2,2,2,3,4,4,2,2,2,2,3,2,3,15,0,5,0,1,1,0
10440220,104402,1044,1,2,1994,1,5,5,5,4,4,2,5,1,4,4,3,2,2,1,1,4,3,4,2,4,4,1,2,1,4,3,2,1,2,2,3,3,3,3,2,3,4,3,2,2,2,4,2,2,2,2,2,2,3,2,4,1,16,1,5,0,1,1,0
10480103,104801,1048,1,1,1995,1,5,5,4,4,4,7,8,3,4,4,3,NA,NA,NA,NA,4,4,4,4,3,4,4,2,1,1,3,3,2,2,2,2,2,3,4,3,4,4,5,4,2,2,2,3,4,4,2,2,3,3,3,3,2,15,1,4,0,1,5,0
10480106,104801,1048,1,1,1995,1,4,5,4,3,4,9,9,5,4,5,4,NA,NA,NA,NA,4,3,4,3,4,4,4,2,1,1,1,1,2,2,3,2,3,2,4,3,3,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,3,15,0,5,0,2,2,0
10480107,104801,1048,1,1,1995,1,4,4,3,3,4,7,7,5,4,5,4,NA,NA,NA,NA,4,4,4,3,4,4,4,2,1,1,1,NA,1,1,1,2,3,2,3,3,2,2,4,2,1,1,2,2,4,2,4,4,4,2,2,3,4,15,0,1,0,1,5,0
10480111,104801,1048,1,1,1995,1,4,5,5,4,3,9,10,5,5,5,5,NA,NA,NA,NA,3,3,4,4,4,4,4,2,1,1,1,1,2,2,2,1,4,1,4,3,1,3,4,3,1,1,1,3,3,2,2,2,1,2,3,3,4,15,1,4,0,1,2,0
10480116,104801,1048,1,2,1994,1,5,5,5,5,4,8,9,5,4,5,5,NA,NA,NA,NA,4,4,4,3,4,4,4,2,1,3,1,2,2,2,1,3,3,4,1,1,5,2,4,1,3,3,5,4,5,4,2,2,4,2,2,2,3,16,0,5,0,3,5,0
10480117,104801,1048,1,2,1996,1,4,4,3,3,3,5,5,4,4,5,4,NA,NA,NA,NA,4,3,4,3,4,3,3,1,1,2,1,2,2,2,2,2,3,2,3,3,4,3,2,2,2,2,2,2,3,2,2,2,3,2,3,2,2,14,0,4,0,1,4,0
10480118,104801,1048,1,2,1995,1,3,3,3,3,3,5,7,5,4,5,4,NA,NA,NA,NA,4,3,4,3,3,4,4,1,1,2,3,1,2,2,2,3,2,3,3,3,2,3,3,3,2,2,2,2,3,2,2,2,2,2,4,4,2,15,0,5,0,3,5,0
10480123,104801,1048,1,2,1995,1,5,4,4,4,4,6,9,5,5,5,4,NA,NA,NA,NA,3,2,2,3,4,4,4,2,1,1,2,1,2,1,1,2,3,2,4,3,3,4,5,5,2,1,1,3,5,3,2,2,2,3,2,3,2,15,0,5,0,1,5,0
10480203,104802,1048,1,1,1996,1,5,5,5,4,2,7,9,3,3,5,4,NA,NA,NA,NA,3,2,3,3,3,3,3,2,1,1,1,1,1,1,2,2,4,2,4,4,2,4,3,3,2,1,1,3,2,2,2,2,3,2,2,2,2,14,0,2,0,1,4,0
10480208,104802,1048,1,1,1995,3,4,5,5,3,3,9,8,4,5,5,5,NA,NA,NA,NA,4,4,4,3,4,3,4,2,1,NA,2,1,2,4,3,3,4,3,4,3,4,4,5,5,2,2,2,5,5,5,2,1,2,3,2,2,4,15,1,2,0,1,4,0
10480213,104802,1048,1,2,1995,3,3,5,4,5,4,9,5,5,5,5,4,NA,NA,NA,NA,3,3,4,4,4,4,4,2,1,1,1,1,1,1,1,3,2,2,3,4,2,3,3,3,2,1,2,3,5,2,3,3,3,1,1,1,5,15,1,4,0,2,4,0
