youthidCUF,classidCUF,schoolidCUF,schtype_geRV,y1_sex,y1_doby,y1_nationRV,y1_lpsc1,y1_lpsc2,y1_lpsc3,y1_lpsc4,y1_fact,y1_sat2,y1_pbsch1,y1_pbsch2,y1_pbsch3,y1_pbsch4,y1_del1,y1_del2,y1_del3,y1_del4,y1_vict1,y1_vict2,y1_vict3,y1_pdisc1,y1_pdisc2,y1_pdisc3,y1_pdisc4,y1_date,y1_contm,y1_gawm,y1_contf,y1_gawf,y1_penc1,y1_penc2,y1_penc3,y1_fcoh1,y1_fcoh2,y1_fcoh3,y1_fcoh4,y1_fcoh5,y1_pdem1,y1_pdem2,y1_pdem3,y1_pdem4,y1_pdem5,y1_pdem6,y1_pdem7,y1_pinv1,y1_pinv2,y1_pinv3,y1_tenc1,y1_tenc2,classid.x,neg_indegree,neg_outdegree,neg_isolate,classid.y,pos_indegree,pos_outdegree,pos_isolate,n_mutual_bfs,non_reciprocal,num_bfs,sex,schooltype,nationality,age,language,gender,problem_behaviors,delinquency_history,delinquency_count,victim_history,victim_history_score,parent_relation,teacher_support,teacher_help,teacher_encouragement,classid.f,schoolid.f
10200114,102001,1020,1,1,1996,1,3,4,3,3,3,9,3,2,0,0,0,0,0,1,0,0,0,4,4,4,3,1,1,3,1,3,2,2,2,3,4,2,4,4,4,5,5,5,2,1,2,3,4,5,1,2,102001,1,3,0,102001,4,2,0,2,1,2,1,1,German only,14,13,Boy,5,yes,1,0,0,3,3,1,2,102001,1020
10200115,102001,1020,1,2,1996,1,2,3,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,2,1,3,1,3,1,1,2,1,4,1,4,4,1,5,5,5,1,1,2,4,1,2,2,2,102001,0,1,0,102001,1,5,0,0,5,5,2,1,German only,14,9,Girl,0,no,0,0,0,3,4,2,2,102001,1020
10200117,102001,1020,1,2,1995,1,3,3,3,3,4,6,0,0,1,0,0,0,0,0,0,0,0,4,4,4,4,1,1,2,5,NA,2,2,2,3,2,3,3,3,2,2,4,2,2,2,2,4,2,4,2,2,102001,0,3,0,102001,6,5,0,5,0,5,2,1,German only,15,12,Girl,1,no,0,0,0,NA,4,2,2,102001,1020
10200118,102001,1020,1,1,1993,2,3,3,3,1,NA,9,0,0,0,3,NA,NA,NA,NA,0,0,0,4,4,3,3,2,1,3,4,2,3,1,3,3,4,4,4,3,5,5,2,5,4,3,3,5,4,5,1,2,102001,1,0,0,102001,6,5,0,3,2,5,1,1,German and other nationality,17,10,Boy,3,NA,NA,0,0,2,3,1,2,102001,1020
10200120,102001,1020,1,2,1995,3,3,3,4,2,2,5,0,0,0,1,0,0,0,0,5,5,5,3,4,4,4,1,4,3,1,2,1,2,2,3,4,3,3,3,2,3,2,3,3,2,2,2,1,1,2,2,102001,3,4,0,102001,3,4,0,2,3,4,2,1,Only other nationality,15,12,Girl,1,no,0,0,15,2,4,2,2,102001,1020
10200124,102001,1020,1,2,1996,3,3,3,2,2,4,9,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,1,1,3,1,3,1,1,4,1,4,2,4,4,1,5,5,5,1,1,1,5,5,5,1,2,102001,0,5,0,102001,3,3,0,3,1,3,2,1,Only other nationality,14,10,Girl,0,no,0,0,0,3,3,1,2,102001,1020
10420210,104202,1042,3,2,1996,1,3,4,4,3,3,8,1,0,0,2,0,0,0,0,2,2,0,3,4,4,4,1,1,2,1,2,2,2,2,2,3,2,4,3,2,4,3,2,2,2,3,3,3,2,3,3,104202,0,2,0,104202,2,3,0,1,3,3,2,3,German only,14,14,Girl,3,no,0,1,4,2,6,3,3,104202,1042
10420212,104202,1042,3,2,1995,1,3,3,3,2,4,5,1,1,3,0,0,0,0,0,0,4,4,3,4,4,4,1,1,3,1,3,1,1,1,2,4,2,4,3,1,5,5,5,1,1,2,1,3,1,4,4,104202,0,0,1,104202,3,5,0,3,2,5,2,3,German only,15,11,Girl,5,no,0,0,8,3,8,4,4,104202,1042
10420214,104202,1042,3,1,1994,1,3,4,2,1,3,8,0,1,0,0,0,0,0,0,2,4,4,3,4,4,4,2,1,2,2,2,2,2,3,3,3,2,4,3,2,4,3,4,2,1,2,4,3,1,3,2,104202,0,5,0,104202,8,5,0,3,2,5,1,3,German only,16,10,Boy,1,no,0,1,10,2,5,3,2,104202,1042
10420217,104202,1042,3,1,1995,1,3,3,2,2,4,3,0,0,0,0,0,0,0,0,0,2,0,4,4,4,4,2,1,3,1,3,1,2,2,1,3,2,4,3,1,5,4,4,1,1,2,2,2,2,1,2,104202,7,2,0,104202,1,2,0,1,2,2,1,3,German only,15,10,Boy,0,no,0,1,2,3,3,1,2,104202,1042
10420218,104202,1042,3,2,1996,1,2,3,3,2,4,7,1,1,0,0,0,0,0,0,0,0,0,3,4,4,4,1,4,0,1,3,2,2,2,2,3,2,4,3,2,5,4,4,2,2,2,3,2,2,3,2,104202,2,3,0,104202,5,4,0,3,2,4,2,3,German only,14,10,Girl,2,no,0,0,0,2,5,3,2,104202,1042
10420219,104202,1042,3,1,1996,1,3,4,3,2,3,6,1,1,0,0,0,0,0,0,2,2,2,3,4,4,4,2,1,2,1,3,1,1,1,3,4,2,4,4,1,4,4,4,1,2,2,3,2,3,2,2,104202,2,5,0,104202,0,5,0,0,5,5,1,3,German only,14,12,Boy,2,no,0,1,6,2,4,2,2,104202,1042
10420222,104202,1042,3,2,1995,1,3,3,2,2,2,8,0,0,0,1,0,0,0,0,0,2,0,3,4,4,4,2,1,3,1,3,2,1,2,3,3,2,4,3,1,5,5,5,1,1,1,4,4,5,1,2,104202,2,4,0,104202,1,5,0,1,4,5,2,3,German only,15,10,Girl,1,no,0,1,2,3,3,1,2,104202,1042
10440111,104401,1044,1,1,1995,3,4,4,4,4,4,9,3,1,0,2,0,0,1,0,0,0,0,3,3,3,2,1,1,2,2,3,1,2,2,3,4,2,4,4,2,3,4,4,1,1,1,3,1,3,4,4,104401,0,0,1,104401,1,5,0,1,4,5,1,1,Only other nationality,15,16,Boy,6,yes,1,0,0,2,8,4,4,104401,1044
10440113,104401,1044,1,1,1994,3,3,3,3,2,3,5,3,3,0,1,1,0,0,0,0,2,0,2,4,4,4,1,1,2,3,2,2,1,1,2,3,2,4,2,1,1,2,2,1,1,2,2,4,1,4,4,104401,0,1,0,104401,2,3,0,1,3,3,1,1,Only other nationality,16,11,Boy,7,yes,1,1,2,2,8,4,4,104401,1044
