youthidCUF,pos_outdegree,neg_outdegree,pos_indegree,neg_indegree,reciprocal,non_reciprocal,pos_isolate,neg_isolate
10200101,2,4,2,4,2,1,0,0
10200103,1,2,1,5,1,1,0,0
10200105,3,1,1,0,1,3,0,0
10200106,3,4,4,3,2,2,0,0
10200114,2,3,5,1,2,1,0,0
10200115,5,1,1,1,0,5,0,0
10200117,5,3,7,0,5,0,0,0
10200118,5,0,8,1,4,1,0,0
10200120,4,4,3,5,2,3,0,0
10200122,3,4,3,3,1,3,0,0
10200123,5,5,1,1,1,4,0,0
10200124,3,5,3,2,3,1,0,0
10420201,3,2,3,1,2,2,0,0
10420202,5,2,2,6,2,3,0,0
10420203,3,1,3,6,2,2,0,0
10420204,4,1,3,2,2,3,0,0
10420206,2,3,7,0,2,1,0,0
10420207,4,1,4,0,2,3,0,0
10420208,3,2,4,1,2,2,0,0
10420209,4,1,1,0,1,4,0,0
10420210,3,2,2,0,1,3,0,0
10420212,5,0,3,0,3,2,0,1
10420214,5,5,9,0,4,1,0,0
10420217,2,2,1,8,1,2,0,0
10420218,4,3,5,2,3,2,0,0
10420219,5,5,0,2,0,5,0,0
10420222,5,4,1,2,1,4,0,0
10440101,4,3,1,2,1,4,0,0
10440106,5,3,1,5,1,4,0,0
10440107,0,2,2,0,0,1,0,0
10440108,5,0,3,1,1,4,0,0
10440111,5,0,2,0,2,3,0,1
10440113,3,1,2,0,1,3,0,0
10440114,2,3,1,4,1,2,0,0
10440116,5,0,3,1,3,2,0,0
10440118,5,4,1,0,1,4,0,0
10440121,5,5,1,3,1,4,0,0
10440204,4,3,1,3,1,4,0,0
10440205,3,2,3,1,2,2,0,0
10440206,2,1,2,0,2,1,0,0
10440209,4,4,3,1,3,2,0,0
10440211,5,1,3,1,2,3,0,0
10440213,3,3,0,1,0,4,0,0
10440214,1,5,0,2,0,2,0,0
10440215,4,5,2,1,2,3,0,0
10440216,4,1,2,1,2,3,0,0
10440219,1,5,2,0,1,1,0,0
10440220,1,5,3,1,1,1,0,0
10480101,2,5,3,8,2,1,0,0
10480102,1,3,0,14,0,2,0,0
10480103,5,4,2,1,2,3,0,0
10480105,2,4,3,10,2,1,0,0
10480106,2,5,2,0,1,2,0,0
10480107,5,1,2,2,2,3,0,0
10480108,5,1,3,0,3,2,0,0
10480111,2,4,1,4,1,2,0,0
10480113,5,4,2,0,2,3,0,0
10480116,5,5,5,0,4,1,0,0
10480117,4,4,1,2,1,4,0,0
10480118,5,5,5,0,4,1,0,0
10480119,2,4,3,2,2,1,0,0
10480120,4,5,4,5,3,2,0,0
10480121,3,4,4,1,3,1,0,0
10480122,5,5,6,0,4,1,0,0
10480123,5,5,2,0,2,3,0,0
10480202,3,3,0,0,0,4,0,0
10480203,4,2,3,1,2,3,0,0
