youthidCUF,classidCUF.x,schoolidCUF,schtype_geRV,y1_sex,y1_doby,y1_nationRV,y1_lpsc1,y1_lpsc2,y1_lpsc3,y1_lpsc4,y1_fact,y1_sat2,y1_sat1,y1_pbsch1,y1_pbsch2,y1_vict1,y1_vict2,y1_vict3,y1_pdisc1,y1_date,y1_fcoh1,y1_fcoh2,y1_fcoh3,y1_fcoh4,y1_fcoh5,y1_pdem1,y1_pdem2,y1_pdem3,y1_pdem4,y1_pdem5,y1_pdem6,y1_pdem7,y1_pinv1,y1_pinv2,y1_pinv3,y1_migage,y1_educm3,y1_educf3,y1_gradem_geCUF,y1_gradesc_geCUF,y1_gradee_geCUF,y1_repeat,y1_iseimG,y1_iseifG,y1_edasp1CS,y1_edasp2CS,y1_edasp3CS,y1_sspm,y1_sspsc,y1_sspe,y1_seff1,y1_seff2,y1_valed1,y1_asch2,y1_asch1,y1_tenc1,y1_tenc2,y1_tenc3,y1_idsc,y1_club,y1_generationGCUF,class_size,classidCUF.y,neg_indegree,neg_outdegree,neg_isolate,pos_indegree,pos_outdegree,pos_isolate,n_mutual_bfs,non_reciprocal,num_bfs,classidCUF,y1_cot_sum,y1_lat_sum
10200114,102001,1020,1,1,1996,1,4,5,4,4,3,9,10,2,3,4,4,4,4,1,3,4,2,4,4,4,5,5,5,2,1,2,3,4,5,-77,2,2,3,3,3,1,17.549999237060547,22.15999984741211,6,6,7,4,3,2,2,3,2,2,4,1,2,3,1,1,0,12,102001,1,3,0,5,2,0,2,1,2,102001,17,5
10200115,102001,1020,1,2,1996,1,3,4,3,3,4,2,2,5,5,4,4,4,4,2,1,4,1,4,4,1,5,5,5,1,1,2,4,1,2,-77,2,-99,1,1,1,1,56,25.950000762939453,8,7,9,3,3,3,1,1,2,1,4,2,2,5,1,2,2,12,102001,1,1,0,1,5,0,0,5,5,102001,19,9
10200117,102001,1020,1,2,1995,1,4,4,4,4,4,6,7,5,5,4,4,4,4,1,3,2,3,3,3,2,2,4,2,2,2,2,4,2,4,-77,2,2,3,2,3,1,81.12999725341797,22.15999984741211,7,7,7,4,2,3,2,2,1,2,5,2,2,5,1,2,0,12,102001,0,3,0,7,5,0,5,0,5,102001,15,11
10200118,102001,1020,1,1,1993,2,4,4,4,2,-88,9,7,5,5,4,4,4,4,2,3,4,4,4,3,5,5,2,5,4,3,3,5,4,5,4,1,1,1,2,3,3,25.040000915527344,81.4000015258789,7,6,-99,2,3,4,1,2,2,2,5,1,2,3,2,2,1,12,102001,1,0,0,8,5,0,4,1,5,102001,21,10
10200120,102001,1020,1,2,1995,3,4,4,5,3,2,5,5,5,5,1,1,1,3,1,3,4,3,3,3,2,3,2,3,3,2,2,2,1,1,-77,-99,-99,1,1,2,2,23.56999969482422,25.040000915527344,9,8,7,2,2,3,1,1,2,1,4,2,2,3,2,1,2,12,102001,5,4,0,3,4,0,2,3,4,102001,20,18
10200122,102001,1020,1,1,1995,1,4,5,4,4,-88,7,9,5,5,4,3,4,-88,-88,3,2,2,3,3,2,2,3,4,2,1,3,3,3,3,-77,2,2,1,3,2,1,75.54000091552734,25.950000762939453,7,6,-99,3,3,2,2,2,1,1,5,3,2,4,-88,-88,0,12,102001,3,4,0,3,3,0,1,3,3,102001,20,7
10200123,102001,1020,1,1,1994,1,2,3,2,3,-88,4,8,3,4,-88,-88,-88,-88,-88,2,1,2,3,3,2,3,3,4,2,1,2,3,3,3,-77,2,2,3,3,2,2,75.54000091552734,25.950000762939453,7,7,7,3,4,3,1,2,1,1,4,1,2,5,-88,-88,0,12,102001,1,5,0,1,5,0,1,4,5,102001,16,2
10200124,102001,1020,1,2,1996,3,4,4,3,3,4,9,10,5,5,4,4,4,4,1,1,4,2,4,4,1,5,5,5,1,1,1,5,5,5,-77,2,1,1,2,1,1,32.5,61.06999969482422,8,8,8,2,3,2,1,1,2,1,5,1,2,5,3,1,2,12,102001,2,5,0,3,3,0,3,1,3,102001,19,9
10420210,104202,1042,3,2,1996,1,4,5,5,4,3,8,9,4,5,3,3,4,3,1,2,3,2,4,3,2,4,3,2,2,2,3,3,3,2,-77,2,2,1,1,1,1,44.91999816894531,31.719999313354492,8,8,8,3,2,2,1,1,1,1,5,3,3,3,2,1,0,15,104202,0,2,0,2,3,0,1,3,3,104202,18,13
10420212,104202,1042,3,2,1995,1,4,4,4,3,4,5,9,4,4,4,2,2,3,1,2,4,2,4,3,1,5,5,5,1,1,2,1,3,1,-77,-99,-99,1,1,1,1,57.380001068115234,61.18000030517578,8,8,-99,3,2,1,2,2,2,3,4,4,4,2,2,1,0,15,104202,0,0,1,3,5,0,3,2,5,104202,23,15
10420214,104202,1042,3,1,1994,1,4,5,3,2,3,8,8,5,4,3,2,2,3,2,3,3,2,4,3,2,4,3,4,2,1,2,4,3,1,-77,2,2,1,3,3,3,14.210000038146973,37.83000183105469,7,7,7,2,3,3,2,2,1,2,4,3,2,4,1,2,0,15,104202,0,5,0,9,5,0,4,1,5,104202,23,13
10420217,104202,1042,3,1,1995,1,4,4,3,3,4,3,1,5,5,4,3,4,4,2,1,3,2,4,3,1,5,4,4,1,1,2,2,2,2,-77,1,1,2,-88,1,1,75.54000091552734,75.12999725341797,8,8,-99,3,3,3,2,2,1,2,4,1,2,4,1,1,0,15,104202,8,2,0,1,2,0,1,2,2,104202,16,13
10420218,104202,1042,3,2,1996,1,3,4,4,3,4,7,9,4,4,4,4,4,3,1,2,3,2,4,3,2,5,4,4,2,2,2,3,2,2,-77,2,2,2,1,3,1,57.9900016784668,42.29999923706055,7,7,7,3,3,4,1,2,2,2,4,3,2,2,1,1,0,15,104202,2,3,0,5,4,0,3,2,4,104202,18,12
