youthidCUF,classidCUF,neg_indegree,neg_outdegree,neg_isolate,pos_indegree,pos_outdegree,pos_isolate,n_mutual_bfs,non_reciprocal,num_bfs
10200114,102001,1,3,0,5,2,0,2,1,2
10200115,102001,1,1,0,1,5,0,0,5,5
10200117,102001,0,3,0,7,5,0,5,0,5
10200118,102001,1,0,0,8,5,0,4,1,5
10200120,102001,5,4,0,3,4,0,2,3,4
10200122,102001,3,4,0,3,3,0,1,3,3
10200123,102001,1,5,0,1,5,0,1,4,5
10200124,102001,2,5,0,3,3,0,3,1,3
10420210,104202,0,2,0,2,3,0,1,3,3
10420212,104202,0,0,1,3,5,0,3,2,5
10420214,104202,0,5,0,9,5,0,4,1,5
10420217,104202,8,2,0,1,2,0,1,2,2
10420218,104202,2,3,0,5,4,0,3,2,4
10420219,104202,2,5,0,0,5,0,0,5,5
10420222,104202,2,4,0,1,5,0,1,4,5
10440111,104401,0,0,1,2,5,0,2,3,5
10440113,104401,0,1,0,2,3,0,1,3,3
10440114,104401,4,3,0,1,2,0,1,2,2
10440116,104401,1,0,0,3,5,0,3,2,5
10440118,104401,0,4,0,1,5,0,1,4,5
10440121,104401,3,5,0,1,5,0,1,4,5
10440211,104402,1,1,0,3,5,0,2,3,5
10440213,104402,1,3,0,0,3,0,0,4,3
10440214,104402,2,5,0,0,1,0,0,2,1
10440215,104402,1,5,0,2,4,0,2,3,4
10440216,104402,1,1,0,2,4,0,2,3,4
10440219,104402,0,5,0,2,1,0,1,1,1
10440220,104402,1,5,0,3,1,0,1,1,1
10480111,104801,4,4,0,1,2,0,1,2,2
10480113,104801,0,4,0,2,5,0,2,3,5
10480116,104801,0,5,0,5,5,0,4,1,5
10480117,104801,2,4,0,1,4,0,1,4,4
10480118,104801,0,5,0,5,5,0,4,1,5
10480119,104801,2,4,0,3,2,0,2,1,2
10480120,104801,5,5,0,4,4,0,3,2,4
10480121,104801,1,4,0,4,3,0,3,1,3
10480122,104801,0,5,0,6,5,0,4,1,5
10480123,104801,0,5,0,2,5,0,2,3,5
10480211,104802,9,4,0,2,3,0,2,2,3
10480212,104802,1,4,0,2,2,0,2,1,2
10480213,104802,1,4,0,5,4,0,2,3,4
10480214,104802,0,5,0,2,2,0,2,1,2
10480215,104802,5,5,0,2,2,0,2,1,2
10480216,104802,0,3,0,1,2,0,1,2,2
10480217,104802,5,5,0,2,3,0,2,2,3
10480218,104802,1,3,0,1,2,0,1,2,2
10480219,104802,1,5,0,2,5,0,2,3,5
10480220,104802,0,4,0,2,2,0,1,2,2
10480221,104802,0,3,0,2,2,0,1,2,2
11520110,115201,14,3,0,2,2,0,2,1,2
11520111,115201,0,3,0,7,4,0,3,2,4
11520112,115201,0,2,0,2,5,0,2,3,5
11520113,115201,1,5,0,2,5,0,2,3,5
11520114,115201,0,2,0,3,3,0,2,2,3
11520115,115201,0,1,0,6,5,0,4,1,5
11520116,115201,1,0,0,3,5,0,2,3,5
11520118,115201,1,3,0,2,3,0,2,2,3
11520119,115201,3,5,0,2,5,0,2,3,5
11520120,115201,14,5,0,1,3,0,1,3,3
11520123,115201,1,3,0,2,3,0,2,2,3
11520124,115201,5,3,0,3,3,0,2,2,3
11520125,115201,3,5,0,2,4,0,2,3,4
11520210,115202,4,5,0,4,5,0,3,2,5
11520212,115202,10,5,0,2,3,0,2,2,3
11520214,115202,1,4,0,6,5,0,4,1,5
11520215,115202,0,4,0,2,4,0,2,3,4
11520216,115202,1,4,0,0,5,0,0,5,5
11520219,115202,1,5,0,3,5,0,2,3,5
11520220,115202,3,3,0,3,3,0,3,1,3
11520221,115202,2,3,0,4,3,0,3,1,3
11520222,115202,3,3,0,0,3,0,0,4,3
11520223,115202,0,5,0,5,5,0,5,0,5
11520224,115202,4,5,0,4,3,0,3,1,3
11630110,116301,1,3,0,5,5,0,1,4,5
11630111,116301,1,5,0,4,5,0,4,1,5
11630112,116301,1,4,0,3,5,0,2,3,5
